letter,language,coverage,title,id,file
M,"Malayalam",Full Bible,"മലയാളം സത്യവേദപുസ്തകം 1910 - പരിഷ്കരിച്ച പതിപ്പ്, സമകാലിക ലിപിയിൽ",mal2015,M/Malayalam/Full Bible — മലയാളം സത്യവേദപുസ്തകം 1910 - പരിഷ്കരിച്ച പതിപ്പ്, സമകാലിക ലിപിയിൽ.html
B,"Bengali",Full Bible,"ইন্ডিয়ান রিভাইজড ভার্সন (IRV) - বেঙ্গলী",benirv,B/Bengali/Full Bible — ইন্ডিয়ান রিভাইজড ভার্সন (IRV) - বেঙ্গলী.html
C,"Chinese, Mandarin",Full Bible,"世界中文圣经",cmnswcb,C/Chinese, Mandarin/Full Bible — 世界中文圣经.html
T,"Tiếng Việt",Full Bible,"Biblica® Thiên Ban Kinh Thánh Hiện Đại™",vieovcb,T/Tiếng Việt/Full Bible — Biblica® Thiên Ban Kinh Thánh Hiện Đại™.html
I,"Italian",Full Bible,"Diodati Bibbia 1885",ita1885,I/Italian/Full Bible — Diodati Bibbia 1885.html
K,"Kauana",Full Bible,"A BUK TABU A MAULANA KUNUBU ma A KALAMANA KUNUBU",ksd,K/Kauana/Full Bible — A BUK TABU A MAULANA KUNUBU ma A KALAMANA KUNUBU.html
E,"English",Full Bible,"Unlocked Literal Bible",engULB,E/English/Full Bible — Unlocked Literal Bible.html
#,"नेपाली",Full Bible,"Biblica® नेपाली समकालीन सर्वसुलभ संस्करण",npioncb,#/नेपाली/Full Bible — Biblica® नेपाली समकालीन सर्वसुलभ संस्करण.html
A,"Assamese",Full Bible,"ইণ্ডিয়ান ৰিভাইচ ভাৰচন (IRV) আচামিচ - 2019",asmfb,A/Assamese/Full Bible — ইণ্ডিয়ান ৰিভাইচ ভাৰচন (IRV) আচামিচ - 2019.html
K,"Kamano",Full Bible,"Anumzamofo Ruotage Avontafere",kbq,K/Kamano/Full Bible — Anumzamofo Ruotage Avontafere.html
S,"Spanish",Full Bible,"Santa Biblia Valera 1602 Purificada",spav1602p,S/Spanish/Full Bible — Santa Biblia Valera 1602 Purificada.html
E,"English",Full Bible,"Geneva Bible 1599",enggnv,E/English/Full Bible — Geneva Bible 1599.html
K,"Kannada",Full Bible,"Biblica® ಉಚಿತ ಕನ್ನಡ ಸಮಕಾಲಿಕ ಭಾಷಾಂತರ",kanokcv,K/Kannada/Full Bible — Biblica® ಉಚಿತ ಕನ್ನಡ ಸಮಕಾಲಿಕ ಭಾಷಾಂತರ.html
P,"Persian",Full Bible,"ترجمه قدیم",pesOPV,P/Persian/Full Bible — ترجمه قدیم.html
M,"Motu",Full Bible,"Buk Baibel long tokples Motu",meu,M/Motu/Full Bible — Buk Baibel long tokples Motu.html
R,"Romani, Carpathian",Full Bible,"Le Devleskero Lav Andre Romaňi Čhib, Slovensko 2022",rmc,R/Romani, Carpathian/Full Bible — Le Devleskero Lav Andre Romaňi Čhib, Slovensko 2022.html
H,"Hausa",Full Bible,"Biblica® Buɗaɗɗen Littafi Mai Tsarki, Sabon Rai Don Kowa™",hausa,H/Hausa/Full Bible — Biblica® Buɗaɗɗen Littafi Mai Tsarki, Sabon Rai Don Kowa™.html
H,"Hindi",Full Bible,"Biblica® हिंदी समकालीन संस्करण-स्वतंत्र उपलब्धि",hincv,H/Hindi/Full Bible — Biblica® हिंदी समकालीन संस्करण-स्वतंत्र उपलब्धि.html
